@RELATION bodyguard

@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE class {left2right other right2left }
@DATA
3.84381, 1.35528, 2.87108, 2.67525, 4.93597, 1.61811, 3.77547, 1.76993, 0.617383, 4.50548, 1.38256, 2.40821, 1.86894, 1.41979, 1.37268, 0.382195, 0.77202, 1.6396, 1.25635, 2.19528, 21.4533, 17.6818, 17.355, 18.3532, 22.3928, 18.0424, 22.0461, 3.55967, 20.4012, 0.849556, 16.6707, 16.1096, 20.3496, 4.85868, 18.9631, 19.4964, 15.916, 4.60128, 16.0622, 20.2135, left2right
0.90599, 1.11284, 0.905731, 0.985444, 7.33164, 1.6962, 6.25631, 1.31155, 2.30082, 5.09182, 1.39024, 1.12146, 4.20811, 0.82588, 1.74055, 2.95205, 1.27613, 0.842712, 0.955423, 3.65338, 21.9847, 21.5074, 21.538, 25.2632, 22.8867, 23.8084, 22.6541, 6.59889, 22.8075, 1.20745, 18.2901, 16.735, 20.8106, 6.86383, 23.5794, 20.898, 18.1304, 7.43976, 20.8292, 27.1234, left2right
0.85529, 0.705526, 1.18346, 0.840141, 7.40378, 1.33805, 6.13097, 1.96527, 3.3902, 5.2989, 1.2313, 0.560521, 7.62326, 0.781007, 1.11455, 4.35363, 1.24922, 0.46678, 0.872044, 4.123, 18.464, 19.0143, 26.0441, 23.2309, 18.444, 18.8048, 14.7753, 5.91011, 19.2276, 2.20203, 10.4654, 10.544, 15.4627, 6.97011, 19.552, 18.3822, 16.4779, 3.93718, 18.4755, 25.3143, left2right
1.37228, 1.26689, 1.70428, 1.08866, 6.97435, 1.66099, 3.82044, 1.86685, 3.08623, 5.01691, 1.26113, 1.00039, 6.8823, 1.13291, 1.5585, 3.52106, 1.92282, 1.18245, 1.29453, 3.5203, 18.0772, 19.6934, 24.4466, 21.3213, 18.1861, 19.734, 16.5058, 4.7307, 18.3807, 3.09036, 10.9026, 10.4462, 14.981, 5.43784, 18.9, 17.5417, 15.8276, 4.70761, 16.7585, 24.4868, left2right
9.30494, 9.16841, 8.69343, 7.53372, 2.62836, 8.05008, 3.80245, 7.1125, 5.04219, 3.35101, 5.74576, 6.52046, 0.547771, 7.82628, 9.09485, 3.79755, 8.49897, 8.0113, 8.43969, 3.57288, 9.5917, 8.66371, 7.47081, 8.92946, 10.4432, 8.0483, 7.94095, 2.09079, 11.3429, 5.6956, 3.97801, 4.1218, 8.00899, 5.19945, 11.3997, 11.9785, 11.4356, 2.4127, 11.0183, 8.63353, left2right
3.12601, 2.52928, 4.73608, 3.6823, 3.98755, 2.10011, 3.3035, 2.43333, 0.543005, 4.3108, 1.85869, 3.02454, 1.00446, 2.25418, 2.26598, 0.32074, 1.51535, 2.25035, 1.87423, 1.65369, 20.1623, 16.9437, 17.204, 16.8937, 20.9333, 16.8183, 20.5866, 3.45223, 18.9417, 0.614804, 14.9828, 14.0063, 18.7827, 5.34637, 17.5036, 18.2924, 14.6771, 4.20009, 14.7218, 18.754, left2right
1.86786, 0.477827, 1.69675, 1.04154, 4.70973, 0.593512, 4.01582, 1.06112, 0.852014, 5.33861, 0.587313, 0.636349, 4.22814, 0.440339, 0.558116, 1.22458, 0.167299, 0.338234, 0.433869, 2.49643, 15.2439, 13.9891, 18.9918, 18.4431, 16.9043, 17.5687, 14.6905, 4.95188, 17.3835, 1.17723, 12.4753, 13.4591, 13.9347, 5.82903, 18.1818, 16.1298, 10.7621, 5.11749, 17.1742, 20.3381, left2right
2.77759, 0.709216, 1.37804, 1.65744, 3.80408, 0.467343, 4.83553, 1.32258, 1.85213, 4.61091, 1.31914, 0.842532, 6.10081, 0.942661, 0.654901, 2.54721, 0.561207, 0.587834, 0.998501, 2.63461, 14.6343, 15.0826, 22.8814, 22.6581, 15.8098, 16.5025, 12.8589, 5.89283, 17.3763, 1.61326, 9.5793, 10.0906, 12.9175, 5.1701, 19.0311, 16.1452, 11.0933, 5.00508, 18.1032, 23.8818, left2right
2.62237, 0.766407, 2.69075, 1.75779, 3.55889, 0.447984, 3.12484, 1.68459, 0.625707, 3.98468, 1.18986, 1.41193, 3.69873, 0.921625, 0.59964, 0.929743, 0.338957, 0.981352, 0.782318, 1.59566, 15.3094, 12.9166, 16.1653, 15.1314, 15.3653, 15.9066, 15.56, 3.82192, 14.901, 0.915731, 13.4254, 13.0967, 14.34, 5.61039, 15.1026, 15.255, 10.1717, 4.29083, 14.6751, 17.278, left2right
4.2338, 2.59555, 3.50195, 2.89535, 3.6092, 2.52582, 2.72943, 2.57772, 1.30533, 4.98265, 2.10655, 2.57528, 1.23078, 2.415, 2.43356, 1.19107, 2.14368, 2.33942, 2.28329, 1.15941, 22.3069, 16.2236, 15.8594, 16.5748, 20.6144, 16.3734, 20.2677, 3.97934, 18.6228, 0.768424, 14.8923, 14.177, 18.5952, 4.68097, 17.1847, 19.2134, 17.0392, 3.31394, 15.5236, 18.4351, left2right
4.08496, 2.06272, 3.48379, 2.60206, 4.03907, 1.89264, 2.93528, 2.28281, 0.895086, 4.98509, 1.75598, 2.29305, 1.83474, 1.96936, 2.00956, 1.03354, 1.59191, 1.8496, 1.62625, 0.992214, 20.9407, 17.8543, 17.789, 17.9105, 21.4718, 17.9564, 20.6572, 4.09603, 19.9584, 0.523932, 14.1918, 13.4831, 18.6812, 5.28895, 18.5204, 19.1631, 15.5253, 4.42002, 15.6979, 19.7707, left2right
0.226466, 0.96536, 1.10566, 0.427735, 7.90687, 1.48956, 6.01839, 1.19653, 2.16552, 5.06059, 0.901553, 0.772006, 5.99973, 0.522784, 1.4749, 2.99189, 1.11826, 0.554948, 0.447793, 3.87327, 20.4059, 23.0614, 28.5474, 25.8587, 21.6443, 24.1815, 21.4118, 9.03454, 21.5651, 1.43706, 16.3488, 15.1959, 19.5682, 6.69169, 22.337, 19.3207, 16.9318, 6.74866, 21.0506, 27.5099, left2right
