@RELATION appcontest

@ATTRIBUTE acc_magx_min NUMERIC
@ATTRIBUTE acc_magx_max NUMERIC
@ATTRIBUTE acc_magx_abs_mean NUMERIC
@ATTRIBUTE acc_magy_min NUMERIC
@ATTRIBUTE acc_magy_max NUMERIC
@ATTRIBUTE acc_magy_abs_mean NUMERIC
@ATTRIBUTE acc_magz_min NUMERIC
@ATTRIBUTE acc_magz_max NUMERIC
@ATTRIBUTE acc_magz_abs_mean NUMERIC
@ATTRIBUTE acc_mag_mean NUMERIC
@ATTRIBUTE acc_magz_peakfreq NUMERIC
@ATTRIBUTE acc_magz_spectralslope NUMERIC
@ATTRIBUTE class {left2right,right2left,other}

@DATA
-7.60181,5.4273,2.22023,2.03101,19.2629,9.97254,-8.49798,20.2447,3.11462,11.1617,2,-0.0182887,other
-7.60181,2.7322,2.04806,2.03101,19.2109,9.81592,-8.49798,20.2052,2.76292,10.8605,1.96,-0.000347956,other
-8.01885,3.76455,2.13908,1.77798,19.2109,10.0912,-8.49798,20.2052,2.95656,11.2153,1.96,0.00287006,other
-8.01885,4.81455,2.14844,0.731716,19.2109,9.74698,-5.5702,20.2477,2.88666,10.9161,1.92,0.00846093,other
-7.28742,4.81455,2.10965,0.731716,19.1838,10.0611,-5.5702,20.2477,3.19637,11.2978,1.96,-0.018036,other
-5.12698,5.59295,1.98602,0.808334,19.2164,10.2468,-9.21609,20.2232,3.13027,11.352,1.94,-0.0215814,other
-7.33292,5.59295,2.16408,0.808334,19.2164,10.3192,-9.21609,20.2232,3.32632,11.6007,1.94,-0.0150159,other
-7.33292,5.59295,2.08265,-0.637445,19.2164,10.0835,-9.21609,20.2232,3.39642,11.4046,1.92,-0.022079,other
-6.44198,2.37338,2.01592,-0.637445,19.2609,9.9018,-9.47585,20.1871,3.43724,11.2392,1.94,-0.0093381,other
-6.44198,2.45747,2.10253,1.27624,19.2609,10.0438,-9.47585,20.2262,3.39131,11.3593,1.92,-0.00498811,other
-6.44198,3.49999,2.08283,1.27235,19.2318,9.8927,-7.80966,20.2262,3.09746,11.1263,1.96,-0.00917031,other
-7.05788,4.65578,2.16862,1.2538,19.2318,10.2786,-8.06059,20.2262,3.15424,11.4992,1.94,-0.0100155,other
-7.63099,4.65578,2.20538,1.2538,19.2318,9.62699,-8.06059,20.2185,2.92878,10.822,1.96,0.00211121,other
-8.66886,4.60565,2.14651,1.5043,19.2341,9.9868,-6.15079,20.185,2.97919,11.173,1.94,-0.00181389,other
-8.66886,4.60565,1.97848,1.5043,19.2341,10.0849,-6.70594,20.2121,3.1578,11.268,1.96,-0.0182628,other
-8.66886,4.60565,2.1547,0.499781,19.195,9.95069,-6.70594,20.2121,2.92532,11.0871,1.98,0.00662374,other
-6.15319,4.82502,2.21406,0.499781,19.2359,9.63595,-8.37977,20.2139,3.31091,11.0121,1.96,-0.0312299,other
-6.69651,4.82502,2.1073,0.622932,19.2359,9.85639,-8.37977,20.2139,3.30933,11.1464,1.94,-0.0226257,other
-6.71372,4.95834,2.00198,1.24812,19.2037,9.96439,-5.93352,20.1929,3.05997,11.1142,1.9,-0.0150878,other
-6.71372,4.95834,2.00918,1.24812,19.2583,10.0968,-5.93352,20.1853,3.08888,11.2481,1.94,-0.0179106,other
-8.99073,5.25133,2.23236,0.566073,19.2583,10.3064,-6.02285,20.1853,3.20731,11.5858,1.96,-0.0173761,other
-8.99073,5.25133,2.34437,0.566073,19.2583,9.97303,-6.02285,20.2172,3.22711,11.3046,1.94,-0.00180861,other
