	 1.314056	 0.455780	 -0.495956	 5
1462172141.306	 0	 1.141937	 0.123413	 -0.377243	 5
1462172141.315	 0	 1.212235	 0.142578	 -0.452698	 5
1462172141.325	 0	 1.263672	 0.169113	 -0.498047	 5
1462172141.334	 0	 1.314438	 0.181183	 -0.545349	 5
1462172141.344	 0	 1.396820	 0.187515	 -0.631470	 5
1462172141.353	 0	 1.396820	 0.187515	 -0.631470	 5
1462172141.363	 0	 1.403900	 0.192825	 -0.684341	 5
1462172141.373	 0	 1.384872	 0.179657	 -0.709167	 5
1462172141.382	 0	 1.383224	 0.168106	 -0.717041	 5
1462172141.392	 0	 1.418900	 0.182770	 -0.706711	 5
1462172141.402	 0	 1.418900	 0.182770	 -0.706711	 5
1462172141.411	 0	 1.450500	 0.212814	 -0.714050	 5
1462172141.421	 0	 1.477890	 0.263062	 -0.742050	 5
1462172141.431	 0	 1.486725	 0.433548	 -0.855530	 5
1462172141.440	 0	 1.460251	 0.458847	 -0.912811	 5
1462172141.450	 0	 1.456009	 0.452789	 -0.979599	 5
1462172141.459	 0	 1.456009	 0.452789	 -0.979599	 5
1462172141.469	 0	 1.498199	 0.425339	 -1.073227	 5
1462172141.479	 0	 1.509003	 0.372437	 -1.196747	 5
1462172141.488	 0	 1.525482	 0.318588	 -1.296677	 5
1462172141.498	 0	 1.561676	 0.381882	 -1.364761	 5
1462172141.507	 0	 1.546753	 0.470078	 -1.314819	 5
1462172141.517	 0	 1.546753	 0.470078	 -1.314819	 5
1462172141.526	 0	 1.471695	 0.539474	 -1.254028	 5
1462172141.536	 0	 1.392746	 0.569382	 -1.210037	 5
1462172141.546	 0	 1.288330	 0.571762	 -1.201767	 5
1462172141.555	 0	 1.172012	 0.583984	 -1.199524	 5
1462172141.565	 0	 1.095795	 0.599045	 -1.220261	 5
1462172141.575	 0	 1.095795	 0.599045	 -1.220261	 5
1462172141.584	 0	 1.028793	 0.600311	 -1.261490	 5
1462172141.594	 0	 0.925171	 0.649002	 -1.232529	 5
1462172141.603	 0	 0.894775	 0.663986	 -1.253586	 5
1462172141.613	 0	 0.853760	 0.634857	 -1.293457	 5
1462172141.623	 0	 0.828690	 0.588028	 -1.330200	 5
1462172141.632	 0	 0.828690	 0.588028	 -1.330200	 5
1462172141.642	 0	 0.782517	 0.560165	 -1.334839	 5
1462172141.651	 0	 0.734756	 0.557419	 -1.327698	 5
1462172141.661	 0	 0.672256	 0.559845	 -1.318817	 5
1462172141.671	 0	 0.524551	 0.562469	 -1.260147	 5
1462172141.680	 0	 0.524551	 0.562469	 -1.260147	 5
1462172141.690	 0	 0.491211	 0.566208	 -1.244949	 5
1462172141.700	 0	 0.483536	 0.522003	 -1.264740	 5
1462172141.709	 0	 0.479080	 0.489594	 -1.225571	 5
1462172141.719	 0	 0.490005	 0.461731	 -1.170502	 5
1462172141.728	 0	 0.488510	 0.436050	 -1.294220	 5
1462172141.738	 0	 0.521378	 0.450500	 -1.161224	 5
1462172141.748	 0	 0.521378	 0.450500	 -1.161224	 5
1462172141.757	 0	 0.602203	 0.627487	 -0.859528	 5
1462172141.767	 0	 0.546921	 0.725388	 -0.784683	 5
1462172141.777	 0	 0.529480	 0.737793	 -0.700531	 5
1462172141.786	 0	 0.489151	 0
