6	 -0.015793	 1.014206	 0.010910	 5
1462172137.396	 7	 -0.131241	 0.902908	 0.192551	 5
1462172137.406	 7	 -0.172867	 0.584396	 0.300354	 5
1462172137.416	 7	 -0.223938	 0.285950	 0.344620	 5
1462172137.426	 7	 -0.263855	 0.244873	 0.095612	 5
1462172137.436	 7	 -0.343155	 0.391098	 -0.169098	 5
1462172137.446	 7	 -0.398224	 0.544357	 -0.240265	 5
1462172137.456	 7	 -0.392273	 0.761322	 -0.087769	 5
1462172137.466	 7	 -0.319550	 0.992477	 0.151215	 5
1462172137.476	 7	 -0.096115	 1.261261	 0.225830	 5
1462172137.486	 7	 0.219742	 1.428818	 0.165604	 5
1462172137.496	 7	 0.463989	 1.480881	 0.051758	 5
1462172137.506	 7	 0.560532	 1.384521	 0.030930	 5
1462172137.516	 7	 0.483810	 1.178314	 -0.036407	 5
1462172137.526	 7	 0.296860	 1.055557	 -0.049927	 5
1462172137.536	 7	 0.079117	 1.001526	 0.066574	 5
1462172137.546	 7	 -0.098587	 0.976196	 0.206085	 5
1462172137.556	 7	 -0.211456	 0.960632	 0.289780	 5
1462172137.566	 7	 -0.225922	 0.906219	 0.218109	 5
1462172137.576	 7	 -0.169266	 0.897659	 0.151505	 5
1462172137.586	 7	 -0.116974	 0.911545	 0.117447	 5
1462172137.596	 7	 -0.069901	 0.942902	 0.084229	 5
1462172137.606	 7	 -0.017410	 0.988373	 0.046021	 5
1462172137.616	 7	 0.013672	 1.042053	 0.023621	 5
1462172137.626	 7	 0.018600	 1.055908	 -0.007599	 5
1462172137.636	 7	 0.035767	 1.057434	 -0.020889	 5
1462172137.646	 7	 0.058243	 1.055252	 -0.031677	 5
1462172137.656	 7	 0.064636	 1.034424	 -0.041809	 5
1462172137.666	 7	 0.092529	 0.992874	 -0.034592	 5
1462172137.676	 7	 0.112747	 0.980850	 -0.021744	 5
1462172137.686	 7	 0.127975	 0.998566	 0.006165	 5
1462172137.696	 7	 0.121262	 0.995254	 0.022644	 5
1462172137.706	 7	 0.112946	 1.002991	 0.060944	 5
1462172137.716	 7	 0.079636	 1.012863	 0.080643	 5
1462172137.726	 7	 0.036591	 1.011581	 0.097076	 5
1462172137.736	 7	 -0.005829	 0.976639	 0.098557	 5
1462172137.746	 7	 -0.038956	 0.988388	 0.108932	 5
1462172137.756	 7	 -0.034988	 1.002563	 0.114517	 5
1462172137.766	 7	 -0.079849	 0.990173	 0.104858	 5
1462172137.776	 7	 -0.084625	 0.973633	 0.104340	 5
1462172137.786	 7	 -0.060577	 0.958603	 0.109802	 5
1462172137.796	 7	 -0.029312	 0.952744	 0.087601	 5
